GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.inventario_service.service,InventarioService,0,76,0,0,0,17,0,8,0,8
,com.biblioteca.inventario_service.controller,InventarioController,42,0,0,0,9,0,7,0,7,0
,com.biblioteca.inventario_service.exception,GlobalExceptionHandler,137,0,0,0,43,0,8,0,8,0
,com.biblioteca.inventario_service,InventarioServiceApplication,8,0,0,0,3,0,2,0,2,0
,com.biblioteca.inventario_service.Mapper,InventarioMapper,24,0,0,0,10,0,3,0,3,0
