GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.categoria_service.client,CategoriaClient,80,0,2,0,23,0,5,0,4,0
,com.biblioteca.categoria_service.controller,CategoriaController,42,0,0,0,9,0,7,0,7,0
,com.biblioteca.categoria_service,CategoriaServiceApplication,8,0,0,0,3,0,2,0,2,0
,com.biblioteca.categoria_service.exception,GlobalExceptionHandler,137,0,0,0,43,0,8,0,8,0
,com.biblioteca.categoria_service.service,CategoriaService,0,68,0,0,0,15,0,8,0,8
,com.biblioteca.categoria_service.Mapper,CategoriaMapper,18,0,0,0,8,0,3,0,3,0
