GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.libro_service.client,AuthorClient,52,0,2,0,13,0,4,0,3,0
,com.biblioteca.libro_service.controller,LibroController,62,0,0,0,14,0,7,0,7,0
,com.biblioteca.libro_service.exception,GlobalExceptionHandler,137,0,0,0,43,0,8,0,8,0
,com.biblioteca.libro_service,LibroServiceApplication,8,0,0,0,3,0,2,0,2,0
,com.biblioteca.libro_service.service,LibroService,0,124,0,0,0,31,0,9,0,9
,com.biblioteca.libro_service.config,WebClientConfig,25,0,0,0,6,0,2,0,2,0
