GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.autor_service.client,LibroClient,22,7,0,0,7,2,1,2,1,2
,com.biblioteca.autor_service,AutorServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.biblioteca.autor_service.service,AutorService,0,109,0,0,0,26,0,8,0,8
,com.biblioteca.autor_service.controller,AutorController,55,7,0,0,12,2,5,2,5,2
,com.biblioteca.autor_service.config,WebClientConfig,0,17,0,0,0,5,0,2,0,2
,com.biblioteca.autor_service.exception,GlobalExceptionHandler,130,7,0,0,41,2,6,2,6,2
