GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.multa_service.controller,MultaController,86,0,0,0,20,0,7,0,7,0
,com.biblioteca.multa_service,MultaServiceApplication,8,0,0,0,3,0,2,0,2,0
,com.biblioteca.multa_service.mapper,MultaMapper,30,0,0,0,12,0,3,0,3,0
,com.biblioteca.multa_service.exception,GlobalExceptionHandler,160,0,0,0,51,0,8,0,8,0
,com.biblioteca.multa_service.config,WebClientConfig,9,0,0,0,4,0,2,0,2,0
,com.biblioteca.multa_service.service,MultaService,0,134,0,0,0,29,0,9,0,9
,com.biblioteca.multa_service.client,MultaClient,53,4,2,0,15,1,3,1,2,1
