GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.biblioteca.reporte_service,ReporteServiceApplication,5,3,0,0,2,1,1,1,1,1
,com.biblioteca.reporte_service.controller,ReporteController,55,7,0,0,12,2,5,2,5,2
,com.biblioteca.reporte_service.service,ReporteService,0,98,0,0,0,20,0,10,0,10
,com.biblioteca.reporte_service.exception,GlobalExceptionHandler,130,7,0,0,41,2,6,2,6,2
